,group,child,parent
0,10002950_1,Combinatorics,Discrete mathematics
1,10002950_1,Graph theory,Combinatorics
2,10002950_1,Graph algorithms,Graph theory
3,10002950_1,Trees,Graph theory
4,10002950_1,Paths and connectivity problems,Graph theory
5,10002950_1,Matchings and factors,Graph theory
6,10002950_1,Network flows,Graph theory
7,10002950_1,Graph enumeration,Graph theory
8,10002950_1,Extremal graph theory,Graph theory
9,10002950_1,Spectra of graphs,Graph theory
10,10002950_1,Graph coloring,Graph theory
11,10002950_1,Hypergraphs,Combinatorics
12,10002950_1,Combinatoric problems,Combinatorics
13,10002950_1,Combinatorics on words,Combinatorics
14,10002950_1,Generating functions,Combinatorics
15,10002950_1,Matroids and greedoids,Combinatorics
16,10002950_1,Permutations and combinations,Combinatorics
17,10002950_1,Combinatorial algorithms,Combinatorics
18,10002950_1,Approximation algorithms,Combinatorial algorithms
19,10002950_1,Enumeration,Combinatorial algorithms
20,10002950_1,Random graphs,Graph theory
21,10002950_4,Numerical analysis,Mathematical optimization
22,10002950_4,Calculus,Mathematical optimization
23,10002950_4,Mathematical analysis,Mathematical optimization
24,10002950_4,Approximation,Numerical analysis
25,10002950_4,Discretization,Numerical analysis
26,10002950_4,Numerical differentiation,Numerical analysis
27,10002950_4,Numerical integration,Numerical analysis
28,10002950_4,Interval arithmetic,Numerical analysis
29,10002950_4,Continuous optimization,Mathematical optimization
30,10002950_4,Convex optimization,Continuous optimization
31,10002950_4,Nonconvex optimization,Continuous optimization
32,10002950_4,Discrete optimization,Mathematical optimization
33,10002950_4,Mixed discrete-continuous optimization,Mathematical optimization
34,10002950_4,Stochastic control and optimization,Mathematical optimization
35,10002950_4,Integer programming,Discrete optimization
36,10002950_4,Linear programming,Integer programming
37,10002950_4,Quadratic programming,Integer programming
38,10002950_4,Semidefinite programming,Integer programming
39,10002950_4,Nonlinear equations,Nonconvex optimization
40,10002950_4,Differential equations,Nonconvex optimization
41,10002950_4,Ordinary differential equations,Differential equations
42,10002950_4,Partial differential equations,Differential equations
43,10002950_4,Differential algebraic equations,Differential equations
44,10002950_4,Differential variational inequalities,Differential equations
45,10002950_4,Evolutionary algorithms,Bio-inspired optimization
46,10002950_4,Genetic programming,Evolutionary algorithms
47,10002950_4,Simulated annealing,Evolutionary algorithms
48,10002950_4,Tabu search,Evolutionary algorithms
49,10002950_4,Randomized local search,Evolutionary algorithms
50,10002950_4,Computations on matrices,Numerical analysis
51,10002950_4,Computations on polynomials,Numerical analysis
52,10002950_4,Gröbner bases and other special bases,Computations on polynomials
53,10002950_4,Functional analysis,Mathematical analysis
54,10002950_4,Number-theoretic computations,Mathematical analysis
55,10002950_4,Lambda calculus,Mathematical logic
56,10002950_5,Topology,Continuous mathematics
57,10002950_5,Point-set topology,Topology
58,10002950_5,Algebraic topology,Topology
