,group,child,parent
0,10002950_1,Combinatorics,Discrete mathematics
1,10002950_1,Enumeration,Combinatorics
2,10002950_1,Permutations and combinations,Combinatorics
3,10002950_1,Combinatorial optimization,Combinatorics
4,10002950_1,Combinatorial algorithms,Combinatorics
5,10002950_1,Combinatoric problems,Combinatorics
6,10002950_1,Combinatorics on words,Combinatorics
7,10002950_1,Graph theory,Discrete mathematics
8,10002950_1,Graph algorithms,Graph theory
9,10002950_1,Spectra of graphs,Graph theory
10,10002950_1,Trees,Graph theory
11,10002950_1,Network flows,Graph theory
12,10002950_1,Matchings and factors,Graph theory
13,10002950_1,Graph enumeration,Graph theory
14,10002950_1,Graph coloring,Graph theory
15,10002950_1,Paths and connectivity problems,Graph theory
16,10002950_1,Hypergraphs,Graph theory
17,10002950_1,Random graphs,Graph theory
18,10002950_1,Extremal graph theory,Graph theory
19,10002950_1,Approximation algorithms,Combinatorial optimization
20,10002950_1,Matroids and greedoids,Combinatorial optimization
21,10002950_4,Optimization Techniques,Mathematical optimization
22,10002950_4,Linear programming,Optimization Techniques
23,10002950_4,Nonlinear equations,Optimization Techniques
24,10002950_4,Quadratic programming,Optimization Techniques
25,10002950_4,Discrete optimization,Optimization Techniques
26,10002950_4,Continuous optimization,Optimization Techniques
27,10002950_4,Mixed discrete-continuous optimization,Optimization Techniques
28,10002950_4,Algorithms and Heuristics,Mathematical optimization
29,10002950_4,Genetic programming,Algorithms and Heuristics
30,10002950_4,Evolutionary algorithms,Algorithms and Heuristics
31,10002950_4,Simulated annealing,Algorithms and Heuristics
32,10002950_4,Tabu search,Algorithms and Heuristics
33,10002950_4,Mathematical Foundations,Mathematical optimization
34,10002950_4,Calculus,Mathematical Foundations
35,10002950_4,Differential equations,Mathematical Foundations
36,10002950_4,Functional analysis,Mathematical Foundations
37,10002950_4,Numerical Methods,Mathematical optimization
38,10002950_4,Numerical analysis,Numerical Methods
39,10002950_4,Numerical differentiation,Numerical Methods
40,10002950_4,Automatic differentiation,Numerical Methods
41,10002950_4,Specialized Topics,Mathematical optimization
42,10002950_4,Differential algebraic equations,Specialized Topics
43,10002950_4,Submodular optimization and polymatroids,Specialized Topics
44,10002950_4,Gr???bner bases and other special bases,Specialized Topics
45,10002950_4,Randomized local search,Algorithms and Heuristics
46,10002950_4,Stochastic control and optimization,Mathematical optimization
47,10002950_4,Computations on polynomials,Mathematical optimization
48,10002950_4,Computations on matrices,Mathematical optimization
49,10002950_4,Mesh generation,Mathematical optimization
50,10002950_4,Quasiconvex programming and unimodality,Mathematical optimization
51,10002950_4,Quadrature,Mathematical optimization
52,10002950_4,Interval arithmetic,Numerical Methods
53,10002950_4,Arbitrary-precision arithmetic,Numerical Methods
54,10002950_4,Network optimization,Mathematical optimization
55,10002950_4,Non-parametric optimization,Mathematical optimization
56,10002950_4,Discretization,Numerical Methods
57,10002950_4,Approximation,Mathematical optimization
58,10002950_4,Interpolation,Numerical Methods
59,10002950_4,Differential variational inequalities,Specialized Topics
60,10002950_4,Developmental representations,Specialized Topics
61,10002950_4,Computations in finite fields,Specialized Topics
62,10002950_5,Topology,Continuous mathematics
63,10002950_5,Algebraic topology,Topology
64,10002950_5,Geometric topology,Topology
65,10002950_5,Continuous functions,Topology
66,10002950_5,Point-set topology,Topology
67,10002950_5,Calculus,Continuous mathematics
68,10002951_3,Data Management,Information Systems
69,10002951_3,Data Warehouses,Data Management
70,10002951_3,Data Cleaning,Data Management
71,10002951_3,Data Mining,Data Management
72,10002951_3,Data Stream Mining,Data Management
73,10002951_3,Data Streaming,Data Management
74,10002951_3,Association Rules,Data Management
75,10002951_3,Clustering,Data Management
76,10002951_3,Enterprise Systems,Information Systems
77,10002951_3,Enterprise Resource Planning,Enterprise Systems
78,10002951_3,Enterprise Information Systems,Enterprise Systems
79,10002951_3,Extranets,Enterprise Systems
80,10002951_3,Intranets,Enterprise Systems
81,10002951_3,Geographic Information Systems,Information Systems
82,10002951_3,Global Positioning Systems,Geographic Information Systems
83,10002951_3,Spatial-Temporal Systems,Geographic Information Systems
84,10002951_3,Location-Based Services,Geographic Information Systems
85,10002951_3,Collaborative Systems,Information Systems
86,10002951_3,Collaborative and Social Computing Systems and Tools,Collaborative Systems
87,10002951_3,Social Networking Sites,Collaborative Systems
88,10002951_3,Social Tagging Systems,Collaborative Systems
89,10002951_3,Wikis,Collaborative Systems
90,10002951_3,Blogs,Collaborative Systems
91,10002951_3,Massively Multiplayer Online Games,Collaborative Systems
92,10002951_3,Multimedia Systems,Information Systems
93,10002951_3,Multimedia Content Creation,Multimedia Systems
94,10002951_3,Multimedia Databases,Multimedia Systems
95,10002951_3,Multimedia Information Systems,Multimedia Systems
96,10002951_3,Multimedia Streaming,Multimedia Systems
97,10002951_3,Computing Platforms,Information Systems
98,10002951_3,Asynchronous Editors,Computing Platforms
99,10002951_3,Synchronous Editors,Computing Platforms
100,10002951_3,Mobile Information Processing Systems,Computing Platforms
101,10002951_3,Sensor Networks,Computing Platforms
102,10002951_3,Decision Support Systems,Information Systems
103,10002951_3,Reputation Systems,Decision Support Systems
104,10002951_3,Expert Systems,Decision Support Systems
105,10002951_3,Process Control Systems,Decision Support Systems
106,10002951_3,Online Analytical Processing,Decision Support Systems
107,10002951_3,Computational Advertising,Information Systems
108,10002951_3,Data Centers,Information Systems
109,10002978_1,Mathematical foundations of cryptography,Cryptography
110,10002978_1,Public key (asymmetric) techniques,Cryptography
111,10002978_1,Public key encryption,Public key (asymmetric) techniques
112,10002978_1,Digital signatures,Public key (asymmetric) techniques
113,10002978_1,Key management,Cryptography
114,10002978_1,Symmetric cryptography and hash functions,Cryptography
115,10002978_1,Block and stream ciphers,Symmetric cryptography and hash functions
